id,Match,Team Innings,Batting Position,Batsman Name,o/n,Runs,Balls,4s,6s,Strike Rate,Winner,VictoryMargin,Ground
ODI # 4705,India Vs Australia,India,1,Rohit Sharma,o,47,31,4,3,151.61,Australia,6 wickets,Ahmedabad
ODI # 4705,India Vs Australia,India,2,Shubman Gill,o,4,7,0,0,57.14,Australia,6 wickets,Ahmedabad
ODI # 4705,India Vs Australia,India,3,Virat Kohli,o,54,63,4,0,85.71,Australia,6 wickets,Ahmedabad
ODI # 4705,India Vs Australia,India,4,Shreyas Iyer,o,4,3,1,0,133.33,Australia,6 wickets,Ahmedabad
ODI # 4705,India Vs Australia,India,5,KL Rahul,o,66,107,1,0,61.68,Australia,6 wickets,Ahmedabad
ODI # 4705,India Vs Australia,India,6,Ravindra Jadeja,o,9,22,0,0,40.90,Australia,6 wickets,Ahmedabad
ODI # 4705,India Vs Australia,India,7,Suryakumar Yadav,o,18,28,1,0,64.28,Australia,6 wickets,Ahmedabad
ODI # 4705,India Vs Australia,India,8,Mohammed Shami,o,6,10,1,0,60.00,Australia,6 wickets,Ahmedabad
ODI # 4705,India Vs Australia,India,9,Jasprit Bumrah,o,1,3,0,0,33.33,Australia,6 wickets,Ahmedabad
ODI # 4705,India Vs Australia,India,10,Kuldeep Yadav,o,10,18,0,0,55.55,Australia,6 wickets,Ahmedabad
ODI # 4705,India Vs Australia,India,11,Mohammed Siraj,n,9,8,1,0,112.50,Australia,6 wickets,Ahmedabad
ODI # 4705,India Vs Australia,Australia,1,David Warner,o,7,3,1,0,233.33,Australia,6 wickets,Ahmedabad
ODI # 4705,India Vs Australia,Australia,2,Travis Head,o,137,120,15,4,114.16,Australia,6 wickets,Ahmedabad
ODI # 4705,India Vs Australia,Australia,3,Mitchell Marsh,o,15,15,1,1,100.00,Australia,6 wickets,Ahmedabad
ODI # 4705,India Vs Australia,Australia,4,Steven Smith,o,4,9,1,0,44.44,Australia,6 wickets,Ahmedabad
ODI # 4705,India Vs Australia,Australia,5,Marnus Labuschagne,n,58,110,4,0,52.72,Australia,6 wickets,Ahmedabad
ODI # 4705,India Vs Australia,Australia,6,Glenn Maxwell,n,2,1,0,0,200.00,Australia,6 wickets,Ahmedabad
ODI # 4704,South Africa Vs Australia,South Africa,1,Quinton de Kock,o,3,14,0,0,21.42,Australia,3 wickets,Eden Gardens
ODI # 4704,South Africa Vs Australia,South Africa,2,Temba Bavuma,o,0,4,0,0,0.00,Australia,3 wickets,Eden Gardens
ODI # 4704,South Africa Vs Australia,South Africa,3,Rassie van der Dussen,o,6,31,0,0,19.35,Australia,3 wickets,Eden Gardens
